n;Grade School;Divide and Conquer;Karatsuba
587;20.531;2171.05;1639.36
588;19.704;2170.12;1638.93
589;20.244;2167.05;1641.51
590;21.004;2223.94;1634.91
591;19.975;2185.03;1642.83
592;20.003;2168.02;1643.61
593;20.077;2168.18;1662.05
594;20.126;2167.03;1636.89
595;24.533;2188.58;1638.17
596;20.848;2190.52;1683.16
597;20.362;2201.74;1631.31
598;20.798;2172.81;1632.23
599;20.636;2168.9;1649.75
600;20.517;2182.07;1644.54
601;20.589;2164.84;1715.61
602;20.551;2171.5;1638.83
603;20.695;2178.72;1636.64
604;20.754;2177.59;1633.37
605;20.771;2185.8;1634.94
606;21.049;2161.99;1653.85
607;21.291;2186.3;1641.81
608;21.27;2184.36;1654.09
609;22.667;2185.08;1631.63
610;22.067;2164.44;1626.11
611;21.243;2182.47;1626.27
612;21.36;2268.97;1768.15
613;21.776;2171.03;1644.12
614;21.374;2175.7;1641.66
615;22.012;2169.25;1650.78
616;21.523;2183.6;1659.84
617;21.728;2254.93;1639.69
618;21.751;2176.87;1637.49
619;21.969;2185.9;1646.17
620;22.836;2214.9;1672.16
621;22.761;2187;1634.27
622;22.045;2159.86;1664.97
623;22.181;2175.73;1647.54
624;22.554;2177.94;1652.82
625;22.138;2182;1636.78
626;22.286;2166.44;1647.58
627;22.472;2171.59;1633.11
628;22.319;2195.15;1638.24
629;22.657;2165.24;1638
630;22.615;2244.54;1665.56
631;22.839;2175.23;1676.47
632;23.902;2216.15;1705.69
633;23.514;2297.01;1691.39
634;23.567;2248.7;1701.22
635;23.633;2251.59;1693.9
636;24.001;2191.7;1638.99
637;23.08;2197.44;1702.02
638;24.188;2298.99;1737.71
639;24.077;2249.72;1708.06
640;24.586;2253.68;1701.15
641;24.129;2221.86;1681.23
642;24.11;2225.39;1689.56
643;24.511;2257.62;1759.78
644;25.88;2320.13;1789.03
645;25.825;2256.74;1682.23
646;24.685;2224.54;1685.58
647;24.94;2226.4;1700.3
648;24.578;2322.41;1685.04
649;24.654;2302.02;1736.72
650;27.613;2303.81;1679.67
651;24.828;2226.47;1683.83
652;25.1;2223;1682.92
653;25.483;2267.98;1754.38
654;25.979;2331.24;1744.75
655;25.981;2360.13;1715.07
656;25.289;2227.16;1681.9
657;25.63;2241.91;1724
658;27.305;2299.36;1754.51
659;27.044;2324.43;1754.8
660;26.493;2307.1;1738.95
661;26.407;2268.14;1704.58
662;25.753;2221.94;1745.99
663;26.675;2325.72;1787.54
664;27.877;2305.73;1739.04
665;27.01;2340.56;1743.76
666;27.831;2321.95;1745.66
667;28.056;2300.28;1737.21
668;27.001;2309.08;1755.62
669;27.085;2301.96;1751.29
670;28.485;2309.25;1746.26
671;27.571;2299.69;1745.58
672;27.467;2311.48;1738.92
673;27.992;2315.31;1760.51
674;27.495;2308.53;1736.13
675;27.872;2324.38;1737.97
676;28.571;2322.84;1739.41
677;27.958;2326.05;1744.58
678;30.631;2314.97;1791.8
679;27.965;2321.73;1750.44
680;28.486;2369.03;1804.95
681;29.638;2363.34;1737.46
682;28.236;2316;1736.39
683;28.26;2320.28;1743.38
684;29.487;2335.77;1766.01
685;29.434;2378.38;1798.99
686;29.978;2363.28;1742.27
687;29.212;2315.6;1740.5
688;28.799;2305.08;1748.85
689;33.531;2320.58;1739.88
690;28.748;2353.94;1806.89
691;29.986;2394.39;1763.34
692;29.45;2375.46;2017.66
693;34.421;2629.9;2037.52
694;33.215;2564.13;2012.53
695;33.175;2657.09;2038.68
696;35.501;2673.47;1947.99
697;34.08;2657.04;1933.94
698;32.795;2489.77;1933.88
699;31.846;2493.05;2026.07
700;34.028;2704.14;1995.55
701;33.203;2753.2;2158.19
702;33.932;2748.74;1938.69
703;34.629;2562.32;1982.67
704;35.312;2645.56;2051.16
705;35.156;2657.26;2075.6
706;38.396;2829.05;2235.88
707;40.552;2686.12;2170.26
